track,candidate,symbol,entry_date,entry_completed_date,exit_date,exit_completed_date,buy_fill_count,sell_fill_count,quantity,average_buy_price,average_sell_price,buy_cost,sell_proceeds,total_fees,net_pnl,net_return,holding_days,outcome
mixed,False,512800.SH,2018-09-21,2018-09-28,2018-10-12,2018-10-17,5,4,208200.0,0.4813598387367672,0.466335971439881,100252.14675854753,97062.02190900709,62.15567832873927,-3190.1248495404434,-0.03182101284298389,12,负
mixed,False,512800.SH,2018-11-06,2018-11-07,2018-11-12,2018-11-13,2,2,198300.0,0.4897630150371589,0.4720722625119483,97149.14188363317,93583.84607722251,57.219580661396385,-3565.295806410664,-0.036699200191405046,5,负
mixed,False,510880.SH,2019-01-28,2019-02-01,2019-02-25,2019-02-28,5,4,56900.0,1.6484573381503564,1.8541150928542571,93827.26481572459,105467.4990387722,61.69201960433625,11640.23422304762,0.12406025312481272,18,胜
mixed,False,513500.SH,2019-05-20,2019-05-20,2019-05-27,2019-05-27,1,1,114300.0,0.9244893909156322,0.9045511052310468,105700.83812287127,103359.17427051027,62.717798612869615,-2341.663852361002,-0.02215369238263698,5,负
mixed,False,513500.SH,2019-06-13,2019-06-13,2019-06-20,2019-06-20,1,1,111400.0,0.9285001990437506,0.9374619976222515,103465.95265012585,104401.93655515829,62.360456612577785,935.9839050324372,0.009046298623446747,5,胜
mixed,False,513500.SH,2019-07-02,2019-07-02,2019-07-09,2019-07-09,1,1,109400.0,0.9545704219937323,0.9524214833557607,104461.33316736415,104163.65180603648,62.587474333570356,-297.6813613276754,-0.002849679898788371,5,负
mixed,False,513500.SH,2019-07-17,2019-07-17,2019-08-02,2019-08-05,1,2,107600.0,0.967605473703146,0.9528385693892226,104145.58327514965,102492.2574388027,64.40693216880095,-1653.3258363469504,-0.01587514116637012,13,负
mixed,False,159915.SZ,2019-08-20,2019-08-20,2019-08-30,2019-08-30,1,1,65400.0,1.5668780572891237,1.5671172057151794,102504.5670941927,102458.7184141966,61.488987060144424,-45.8486799960956,-0.00044728426543150235,8,负
mixed,False,159915.SZ,2019-09-09,2019-09-09,2019-09-27,2019-09-27,1,1,62500.0,1.6409668582439425,1.5601256361961364,102591.19676883848,97478.59990657985,60.020484270751474,-5112.596862258622,-0.04983465466124226,13,负
mixed,False,513500.SH,2019-09-27,2019-09-27,2019-10-10,2019-10-11,1,2,98500.0,0.9886622014343739,0.9634383695825344,97412.44180933821,94870.20980005847,57.68457187354963,-2542.2320092797454,-0.02609761096283325,5,负
mixed,False,159915.SZ,2019-11-01,2019-11-01,2019-11-18,2019-11-18,1,1,58900.0,1.6109307675361635,1.6110644352436065,94912.2873545424,94863.22772727767,56.93265523311853,-49.05962726472353,-0.0005168943730273767,11,负
mixed,False,513500.SH,2019-11-19,2019-11-25,2019-12-17,2019-12-18,5,2,92200.0,1.029856642781227,1.046640380381607,94984.48347311113,96471.2929982628,60.65108160335623,1486.8095251516643,0.015653183244109137,21,胜
mixed,False,512800.SH,2019-12-20,2019-12-20,2019-12-27,2019-12-27,1,1,169600.0,0.5686816186189652,0.5663195719003677,96477.33703853181,96018.98505448409,57.74886057362365,-458.3519840477238,-0.00475087723311296,5,负
mixed,False,159915.SZ,2019-12-27,2019-12-27,2020-01-06,2020-01-06,1,1,55400.0,1.7300736448764802,1.753892841911316,95874.83375013486,97136.51374285434,57.90352301041317,1261.6799927194807,0.013159657684597592,5,胜
mixed,False,518880.SH,2020-06-04,2020-06-04,2020-06-08,2020-06-08,1,1,25500.0,3.819578057289124,3.769471129512787,97428.46023301093,96092.67734843529,58.05622627903462,-1335.7828845756449,-0.013710397160962784,2,负
mixed,False,159941.SZ,2020-06-08,2020-06-10,2020-06-23,2020-06-30,3,4,176300.0,0.5467348224771611,0.5507816950111448,96418.26600748432,97069.15745934466,62.572175880988,650.8914518603415,0.006750706881721191,14,胜
mixed,False,159985.SZ,2020-11-03,2020-11-06,2020-11-10,2020-11-13,4,4,86600.0,1.1252170164829038,1.1575734670735396,97474.27484851316,100215.78848989397,60.554979768250945,2741.513641380807,0.028125509480747102,8,胜
mixed,False,513500.SH,2021-03-25,2021-03-29,2021-03-31,2021-04-02,3,3,83500.0,1.205300621624093,1.2354265728983052,100672.79468618344,103127.17140135737,61.140216222786066,2454.3767151739303,0.024379741546111777,6,胜
